epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.58076,1.99044,4.41977,1.67639,0.05955,0.10188,0.03464,0.01477,2.06376,20.268,1.86688,0.00041675,0.00041675,0.00041675
2,9.96019,1.89755,3.05244,1.57806,0.17015,0.10446,0.04696,0.0229,1.98342,3.40973,1.68815,0.000833337,0.000833337,0.000833337
3,14.0933,1.90878,2.89849,1.6592,0.05521,0.20939,0.0611,0.02789,2.28739,3.93774,1.95205,0.00123276,0.00123276,0.00123276
4,18.0189,1.90545,2.92931,1.65398,0.10777,0.03075,0.0224,0.01208,2.34659,4.34431,1.96606,0.00156798,0.00156798,0.00156798
5,21.8184,1.98152,2.78459,1.72904,0.10638,0.10634,0.0607,0.03079,2.33798,3.89592,1.92668,0.00153497,0.00153497,0.00153497
6,26.038,1.9385,2.62424,1.78472,0.10023,0.22746,0.05846,0.02468,2.21031,5.31856,1.95543,0.00150197,0.00150197,0.00150197
7,30.3481,1.95968,2.5832,1.72909,0.30067,0.13263,0.08434,0.02874,2.36009,5.27277,2.09063,0.00146896,0.00146896,0.00146896
8,34.4773,1.89367,2.45633,1.69095,0.13287,0.20376,0.07275,0.03695,2.16057,4.85403,1.95444,0.00143595,0.00143595,0.00143595
9,39.0863,1.82528,2.43506,1.73317,0.09212,0.33498,0.07504,0.03222,2.16092,4.14111,1.95771,0.00140295,0.00140295,0.00140295
10,42.8839,1.87967,2.39522,1.67663,0.47591,0.13192,0.09003,0.0423,2.02583,3.35074,1.84202,0.00136994,0.00136994,0.00136994
11,47.2066,1.8184,2.36352,1.66288,0.24017,0.13451,0.09747,0.04854,2.13083,3.35962,1.9244,0.00133693,0.00133693,0.00133693
12,51.0443,1.80119,2.26023,1.63575,0.20338,0.17739,0.15136,0.0673,2.22663,3.02352,1.97182,0.00130393,0.00130393,0.00130393
13,54.8434,1.75156,2.13543,1.5801,0.27148,0.2716,0.1634,0.07829,2.1293,3.00078,1.87315,0.00127092,0.00127092,0.00127092
14,58.4979,1.76575,2.20072,1.58002,0.26987,0.24601,0.17413,0.09093,2.17356,2.67397,1.84602,0.00123791,0.00123791,0.00123791
15,62.7189,1.72441,2.1109,1.51938,0.32184,0.27583,0.20698,0.10133,2.15295,2.79155,1.89341,0.00120491,0.00120491,0.00120491
16,67.0951,1.65401,1.99932,1.52411,0.2982,0.27934,0.1846,0.08484,2.05611,2.93129,1.81288,0.0011719,0.0011719,0.0011719
17,71.2101,1.60956,1.93377,1.51301,0.24637,0.24155,0.16079,0.07258,2.1924,2.94536,1.79655,0.00113889,0.00113889,0.00113889
18,74.8672,1.65267,1.94078,1.49493,0.3063,0.25563,0.1838,0.08944,2.17643,2.66877,1.84085,0.00110589,0.00110589,0.00110589
19,78.7012,1.65353,1.94191,1.54322,0.35047,0.25376,0.21361,0.09945,2.07737,2.71903,1.83411,0.00107288,0.00107288,0.00107288
20,82.9817,1.56027,1.89875,1.47503,0.21608,0.2338,0.17348,0.09049,1.98102,2.8168,1.75561,0.00103987,0.00103987,0.00103987
21,87.0156,1.4343,1.73265,1.38176,0.30674,0.27418,0.20248,0.10207,1.97607,2.56015,1.70941,0.00100687,0.00100687,0.00100687
22,91.3195,1.44453,1.70474,1.40316,0.27955,0.34977,0.24632,0.10671,1.9637,2.55731,1.69476,0.000973861,0.000973861,0.000973861
23,95.4315,1.47175,1.65419,1.38754,0.2208,0.32793,0.13945,0.06942,1.93094,3.16712,1.63848,0.000940855,0.000940855,0.000940855
24,99.7533,1.41734,1.6161,1.37853,0.47409,0.25393,0.25182,0.13441,1.89993,2.65515,1.60893,0.000907848,0.000907848,0.000907848
25,103.761,1.44476,1.58898,1.39834,0.46843,0.26455,0.27537,0.1587,1.91537,2.52304,1.55574,0.000874842,0.000874842,0.000874842
26,107.442,1.4379,1.65659,1.40889,0.4687,0.27488,0.28935,0.16212,1.87161,2.34939,1.64001,0.000841835,0.000841835,0.000841835
27,111.146,1.3718,1.53558,1.31962,0.45956,0.31382,0.28831,0.15694,1.8549,2.41009,1.65668,0.000808828,0.000808828,0.000808828
28,115.046,1.39054,1.49141,1.31739,0.41569,0.31582,0.29685,0.14992,1.9776,2.42463,1.71265,0.000775822,0.000775822,0.000775822
29,119.239,1.30061,1.42785,1.29348,0.42625,0.29085,0.28331,0.13301,1.969,2.53608,1.74393,0.000742815,0.000742815,0.000742815
30,123.314,1.34561,1.46561,1.3652,0.41866,0.26268,0.28199,0.14131,1.91531,2.4058,1.69064,0.000709809,0.000709809,0.000709809
